itemid,code,type,category,label,description
100191,1151 ,PROCEDURE,NA,NA,SUTURE CORNEA LACERATION 
100192,1152 ,PROCEDURE,NA,NA,REP CORNEA POSTOP DEHISC 
100193,1273 ,PROCEDURE,NA,NA,CYCLOPHOTOCOAGULATION    
100194,1281 ,PROCEDURE,NA,NA,SUTURE SCLERAL LACER     
100195,1289 ,PROCEDURE,NA,NA,SCLERAL OPERATION NEC    
100196,1291 ,PROCEDURE,NA,NA,THERAPEUT EVAC ANT CHAMB 
100197,1292 ,PROCEDURE,NA,NA,ANTERIOR CHAMBER INJECT  
100198,1341 ,PROCEDURE,NA,NA,CATARAC PHACOEMULS/ASPIR 
100199,1371 ,PROCEDURE,NA,NA,INSERT LENS AT CATAR EXT 
100200,1422 ,PROCEDURE,NA,NA,CHORIORETIN LES CRYOTHER 
100201,1424 ,PROCEDURE,NA,NA,CHORIORET LES LASER COAG 
100202,1429 ,PROCEDURE,NA,NA,CHORIORET LES DESTR NEC  
100203,1441 ,PROCEDURE,NA,NA,SCLERAL BUCKLE W IMPLANT 
100204,1454 ,PROCEDURE,NA,NA,DETACH RETINA LASER COAG 
100205,1473 ,PROCEDURE,NA,NA,ANTERIOR MECHAN VITRECT  
100206,1474 ,PROCEDURE,NA,NA,MECH VITRECTOMY NEC      
100207,1475 ,PROCEDURE,NA,NA,VITREOUS SUBSTITUT INJEC 
100208,149  ,PROCEDURE,NA,NA,OTHER POST SEGMENT OPS   
100209,157  ,PROCEDURE,NA,NA,EXTRAOC MUSC INJ REPAIR  
100210,1609 ,PROCEDURE,NA,NA,ORBITOTOMY NEC           
100211,1631 ,PROCEDURE,NA,NA,EYE EVISC W SYNCH IMPLAN 
100212,1649 ,PROCEDURE,NA,NA,EYEBALL ENUCLEATION NEC  
100213,1651 ,PROCEDURE,NA,NA,RADICAL ORBITOMAXILLECT  
100214,1652 ,PROCEDURE,NA,NA,ORBIT EXENT W BONE REMOV 
100215,1659 ,PROCEDURE,NA,NA,ORBITAL EXENTERATION NEC 
100216,1663 ,PROCEDURE,NA,NA,REVIS ENUC SOCKET W GRFT 
100217,1681 ,PROCEDURE,NA,NA,REPAIR OF ORBITAL WOUND  
100218,1682 ,PROCEDURE,NA,NA,REPAIR EYEBALL RUPTURE   
100219,1733 ,PROCEDURE,NA,NA,LAPAROSCOPIC RIGHT HEMIC 
100220,1736 ,PROCEDURE,NA,NA,LAPAROSCOPIC SIGMOIDECTO 
100221,1742 ,PROCEDURE,NA,NA,LAPAROSCOPIC ROBOTIC ASS 
100222,1809 ,PROCEDURE,NA,NA,EXTERNAL EAR INCIS NEC   
100223,1811 ,PROCEDURE,NA,NA,OTOSCOPY                 
100224,1821 ,PROCEDURE,NA,NA,PREAURICULAR SINUS EXCIS 
100225,1829 ,PROCEDURE,NA,NA,DESTRUCT EXT EAR LES NEC 
100226,1839 ,PROCEDURE,NA,NA,EXCIS EXTERNAL EAR NEC   
100227,184  ,PROCEDURE,NA,NA,SUTURE EXT EAR LAC       
100228,1879 ,PROCEDURE,NA,NA,PLASTIC REP EXT EAR NEC  
100229,199  ,PROCEDURE,NA,NA,MIDDLE EAR REPAIR NEC    
100230,2001 ,PROCEDURE,NA,NA,MYRINGOTOMY W INTUBATION 
100231,2009 ,PROCEDURE,NA,NA,MYRINGOTOMY NEC          
100232,2041 ,PROCEDURE,NA,NA,SIMPLE MASTOIDECTOMY     
100233,2049 ,PROCEDURE,NA,NA,MASTOIDECTOMY NEC        
100234,2059 ,PROCEDURE,NA,NA,MIDDLE EAR EXCISION NEC  
100235,2100 ,PROCEDURE,NA,NA,CONTROL OF EPISTAXIS NOS 
100236,2101 ,PROCEDURE,NA,NA,ANT NASAL PACK FOR EPIST 
100237,2102 ,PROCEDURE,NA,NA,POST NASAL PAC FOR EPIST 
100238,2103 ,PROCEDURE,NA,NA,CAUTERY TO STOP EPISTAX  
100239,2109 ,PROCEDURE,NA,NA,EPISTAXIS CONTROL NEC    
100240,211  ,PROCEDURE,NA,NA,INCISION OF NOSE         
100241,2121 ,PROCEDURE,NA,NA,RHINOSCOPY               
100242,2122 ,PROCEDURE,NA,NA,NASAL BIOPSY             
100243,2130 ,PROCEDURE,NA,NA,NASAL LESION EXCIS NOS   
100244,2132 ,PROCEDURE,NA,NA,NASAL LES DESTRUCT NEC   
100245,214  ,PROCEDURE,NA,NA,RESECTION OF NOSE        
100246,215  ,PROCEDURE,NA,NA,SUBMUC NASAL SEPT RESECT 
100247,2161 ,PROCEDURE,NA,NA,DIATHER/CRYO TURBINECTOM 
100248,2162 ,PROCEDURE,NA,NA,TURBINATE FRACTURE       
100249,2169 ,PROCEDURE,NA,NA,TURBINECTOMY NEC         
100250,2171 ,PROCEDURE,NA,NA,CLOS REDUCTION NASAL FX  
100251,2172 ,PROCEDURE,NA,NA,OPEN REDUCTION NASAL FX  
100252,2181 ,PROCEDURE,NA,NA,NASAL LACERATION SUTURE  
100253,2183 ,PROCEDURE,NA,NA,TOT NASAL RECONSTRUCTION 
100254,2186 ,PROCEDURE,NA,NA,LIMITED RHINOPLASTY      
100255,2188 ,PROCEDURE,NA,NA,SEPTOPLASTY NEC          
100256,2201 ,PROCEDURE,NA,NA,SINUS PUNCT FOR LAVAGE   
100257,2211 ,PROCEDURE,NA,NA,NASAL SINUS BIOPSY       
100258,2219 ,PROCEDURE,NA,NA,NASAL SINUS DX PROC NEC  
100259,222  ,PROCEDURE,NA,NA,INTRANASAL ANTROTOMY     
100260,2241 ,PROCEDURE,NA,NA,FRONTAL SINUSOTOMY       
100261,2242 ,PROCEDURE,NA,NA,FRONTAL SINUSECTOMY      
100262,2250 ,PROCEDURE,NA,NA,SINUSOTOMY NOS           
100263,2252 ,PROCEDURE,NA,NA,SPHENOIDOTOMY            
100264,2260 ,PROCEDURE,NA,NA,SINUSECTOMY NOS          
100265,2262 ,PROCEDURE,NA,NA,EXC MAX SINUS LESION NEC 
100266,2263 ,PROCEDURE,NA,NA,ETHMOIDECTOMY            
100267,2264 ,PROCEDURE,NA,NA,SPHENOIDECTOMY           
100268,2279 ,PROCEDURE,NA,NA,NASAL SINUS REPAIR NEC   
100269,229  ,PROCEDURE,NA,NA,OTHER NASAL SINUS OPS    
100270,2301 ,PROCEDURE,NA,NA,DECIDUOUS TOOTH EXTRACT  
100271,2309 ,PROCEDURE,NA,NA,TOOTH EXTRACTION NEC     
100272,2311 ,PROCEDURE,NA,NA,RESIDUAL ROOT REMOVAL    
100273,2319 ,PROCEDURE,NA,NA,SURG TOOTH EXTRACT NEC   
100274,240  ,PROCEDURE,NA,NA,GUM OR ALVEOLAR INCISION 
100275,2411 ,PROCEDURE,NA,NA,GUM BIOPSY               
100276,2432 ,PROCEDURE,NA,NA,SUTURE OF GUM LACERATION 
100277,244  ,PROCEDURE,NA,NA,EXC OF DENTAL LES OF JAW 
100278,245  ,PROCEDURE,NA,NA,ALVEOLOPLASTY            
100279,2501 ,PROCEDURE,NA,NA,NEEDLE BIOPSY OF TONGUE  
100280,2502 ,PROCEDURE,NA,NA,OTHER BIOPSY OF TONGUE   
100281,251  ,PROCEDURE,NA,NA,DESTRUCTION TONGUE LES   
100282,252  ,PROCEDURE,NA,NA,PARTIAL GLOSSECTOMY      
100283,253  ,PROCEDURE,NA,NA,COMPLETE GLOSSECTOMY     
100284,2551 ,PROCEDURE,NA,NA,SUTURE OF TONGUE LACERAT 
100285,2559 ,PROCEDURE,NA,NA,REPAIR OF TONGUE NEC     
100286,2592 ,PROCEDURE,NA,NA,LINGUAL FRENECTOMY       
100287,2611 ,PROCEDURE,NA,NA,SALIVARY GLND & DUCT BX  
100288,2621 ,PROCEDURE,NA,NA,SALIVARY CYST MARSUPIAL  
100289,2630 ,PROCEDURE,NA,NA,SIALOADENECTOMY NOS      
100290,2631 ,PROCEDURE,NA,NA,PARTIAL SIALOADENECTOMY  
100291,2632 ,PROCEDURE,NA,NA,COMPLETE SIALOADENECTOMY 
100292,2691 ,PROCEDURE,NA,NA,SALIVARY DUCT PROBING    
100293,270  ,PROCEDURE,NA,NA,DRAIN FACE & MOUTH FLOOR 
100294,2724 ,PROCEDURE,NA,NA,MOUTH BIOPSY NOS         
100295,2731 ,PROCEDURE,NA,NA,LOC EXC BONY PALATE LES  
100296,2742 ,PROCEDURE,NA,NA,WIDE EXCISION OF LIP LES 
60063,035 ,HFCA_DRG,NA,NA,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC
60064,036 ,HFCA_DRG,NA,NA,CAROTID ARTERY STENT PROCEDURE W/O CC/MC
60065,037 ,HFCA_DRG,NA,NA,EXTRACRANIAL PROCEDURES W MCC           
60066,037 ,HFCA_DRG,NA,NA,ORBITAL PROCEDURES                      
60067,038 ,HFCA_DRG,NA,NA,EXTRACRANIAL PROCEDURES W CC            
60068,039 ,HFCA_DRG,NA,NA,EXTRACRANIAL PROCEDURES W/O CC/MCC      
60069,040 ,HFCA_DRG,NA,NA,EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE 
60070,040 ,HFCA_DRG,NA,NA,PERIPH/CRANIAL NERVE & OTHER NERV SYST P
60071,041 ,HFCA_DRG,NA,NA,PERIPH/CRANIAL NERVE & OTHER NERV SYST P
60072,042 ,HFCA_DRG,NA,NA,"INTRAOCULAR PROCEDURES EXCEPT RETINA, IR"
60073,042 ,HFCA_DRG,NA,NA,PERIPH/CRANIAL NERVE & OTHER NERV SYST P
60074,045 ,HFCA_DRG,NA,NA,NEUROLOGICAL EYE DISORDERS              
60075,046 ,HFCA_DRG,NA,NA,OTHER DISORDERS OF THE EYE AGE >17 W CC 
60076,047 ,HFCA_DRG,NA,NA,OTHER DISORDERS OF THE EYE AGE >17 W/O C
60077,048 ,HFCA_DRG,NA,NA,OTHER DISORDERS OF THE EYE AGE 0-17     
60078,049 ,HFCA_DRG,NA,NA,MAJOR HEAD & NECK PROCEDURES            
60079,050 ,HFCA_DRG,NA,NA,SIALOADENECTOMY                         
60080,052 ,HFCA_DRG,NA,NA,SPINAL DISORDERS & INJURIES W CC/MCC    
60081,053 ,HFCA_DRG,NA,NA,SINUS & MASTOID PROCEDURES AGE >17      
60082,053 ,HFCA_DRG,NA,NA,SPINAL DISORDERS & INJURIES W/O CC/MCC  
60083,054 ,HFCA_DRG,NA,NA,NERVOUS SYSTEM NEOPLASMS W MCC          
60084,055 ,HFCA_DRG,NA,NA,"MISCELLANEOUS EAR, NOSE, MOUTH & THROAT "
60085,055 ,HFCA_DRG,NA,NA,NERVOUS SYSTEM NEOPLASMS W/O MCC        
60086,056 ,HFCA_DRG,NA,NA,DEGENERATIVE NERVOUS SYSTEM DISORDERS W 
60087,056 ,HFCA_DRG,NA,NA,RHINOPLASTY                             
60088,057 ,HFCA_DRG,NA,NA,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/
60089,057 ,HFCA_DRG,NA,NA,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADEN"
60090,058 ,HFCA_DRG,NA,NA,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W
60091,059 ,HFCA_DRG,NA,NA,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W
60092,059 ,HFCA_DRG,NA,NA,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, A"
60093,061 ,HFCA_DRG,NA,NA,ACUTE ISCHEMIC STROKE W USE OF THROMBOLY
60094,062 ,HFCA_DRG,NA,NA,ACUTE ISCHEMIC STROKE W USE OF THROMBOLY
60095,063 ,HFCA_DRG,NA,NA,ACUTE ISCHEMIC STROKE W USE OF THROMBOLY
60096,063 ,HFCA_DRG,NA,NA,"OTHER EAR, NOSE ,MOUTH ,THROAT O.R. PROC"
60097,063 ,HFCA_DRG,NA,NA,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PRO"
60098,064 ,HFCA_DRG,NA,NA,"EAR, NOSE, MOUTH & THROAT MALIGNANCY    "
60099,064 ,HFCA_DRG,NA,NA,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFA
100354,3224 ,PROCEDURE,NA,NA,PERCUTANEOUS ABLATION LU 
100355,3228 ,PROCEDURE,NA,NA,"EXC/DEST OF LESION LUNG, "
100356,3229 ,PROCEDURE,NA,NA,DESTROY LOC LUNG LES NEC 
100357,323  ,PROCEDURE,NA,NA,SEGMENTAL LUNG RESECTION 
100358,3239 ,PROCEDURE,NA,NA,OTH & UNSPEC SEGMENTAL   
100359,324  ,PROCEDURE,NA,NA,LOBECTOMY OF LUNG        
100360,3241 ,PROCEDURE,NA,NA,THORACOSCOPIC LOBECTOMY  
100361,3249 ,PROCEDURE,NA,NA,OTH LOBECTOMY OF LUNG    
100362,325  ,PROCEDURE,NA,NA,COMPLETE PNEUMONECTOMY   
100363,3259 ,PROCEDURE,NA,NA,OTH & UNSPEC PNEUMONECTO 
100364,326  ,PROCEDURE,NA,NA,RAD DISSEC THORAC STRUCT 
100365,331  ,PROCEDURE,NA,NA,INCISION OF LUNG         
100366,3320 ,PROCEDURE,NA,NA,THORACOSCOPIC LUNG BIOPS 
100367,3321 ,PROCEDURE,NA,NA,BRONCHOSCOPY THRU STOMA  
100368,3322 ,PROCEDURE,NA,NA,FIBER-OPTIC BRONCHOSCOPY 
100369,3323 ,PROCEDURE,NA,NA,OTHER BRONCHOSCOPY       
100370,3324 ,PROCEDURE,NA,NA,ENDOSCOPIC BRONCHIAL BX- 
100371,3326 ,PROCEDURE,NA,NA,CLOSE PERC NEEDL BX LUNG 
100372,3327 ,PROCEDURE,NA,NA,ENDOSCOPIC LUNG BX - CLO 
100373,3328 ,PROCEDURE,NA,NA,LUNG BIOPSY - OPEN       
100374,3329 ,PROCEDURE,NA,NA,LUNG/BRONCHUS DIAGNOSTIC 
100375,3334 ,PROCEDURE,NA,NA,THORACOPLASTY            
100376,3339 ,PROCEDURE,NA,NA,SURG COLLAPS OF LUNG NEC 
100377,3341 ,PROCEDURE,NA,NA,BRONCHIAL LACERAT SUTURE 
100378,3342 ,PROCEDURE,NA,NA,BRONCHIAL FISTULA CLOS   
100379,3343 ,PROCEDURE,NA,NA,LUNG LACERATION CLOSURE  
100380,3348 ,PROCEDURE,NA,NA,BRONCHIAL REPAIR NEC     
100381,3378 ,PROCEDURE,NA,NA,ENDOSCOPIC REMOVAL BRONC 
100382,3379 ,PROCEDURE,NA,NA,ENDOSCOPIC INSERTION OTH 
100383,3391 ,PROCEDURE,NA,NA,BRONCHIAL DILATION       
100384,3392 ,PROCEDURE,NA,NA,BRONCHIAL LIGATION       
100385,3393 ,PROCEDURE,NA,NA,PUNCTURE OF LUNG         
100386,3399 ,PROCEDURE,NA,NA,LUNG OPERATION NEC       
100387,3401 ,PROCEDURE,NA,NA,INCISION OF CHEST WALL   
100388,3402 ,PROCEDURE,NA,NA,EXPLORATORY THORACOTOMY  
100389,3403 ,PROCEDURE,NA,NA,REOPEN THORACOTOMY SITE  
100390,3404 ,PROCEDURE,NA,NA,INSERT INTERCOSTAL CATH  
100391,3406 ,PROCEDURE,NA,NA,THORACOSCOPIC DRAINAGE   
100392,3409 ,PROCEDURE,NA,NA,OTHER PLEURAL INCISION   
100393,341  ,PROCEDURE,NA,NA,INCISION OF MEDIASTINUM  
100394,3420 ,PROCEDURE,NA,NA,THORACOSCOPIC PLEURAL BI 
100395,3421 ,PROCEDURE,NA,NA,TRANSPLEURA THORACOSCOPY 
100396,3422 ,PROCEDURE,NA,NA,MEDIASTINOSCOPY          
100397,3423 ,PROCEDURE,NA,NA,CHEST WALL BIOPSY        
100398,3424 ,PROCEDURE,NA,NA,OTHER PLEURAL BIOPSY     
100399,3425 ,PROCEDURE,NA,NA,MEDIASTINAL BX - CLOSED  
100400,3426 ,PROCEDURE,NA,NA,MEDIASTINAL BIOPSY - OPE 
100401,3427 ,PROCEDURE,NA,NA,BIOPSY OF DIAPHRAGM      
100402,343  ,PROCEDURE,NA,NA,DESTRUCT MEDIASTIN LES   
100403,344  ,PROCEDURE,NA,NA,DESTRUCT CHEST WALL LES  
100404,3451 ,PROCEDURE,NA,NA,DECORTICATION OF LUNG    
100405,3452 ,PROCEDURE,NA,NA,THORACOSCOPIC DECORTICAT 
100406,3459 ,PROCEDURE,NA,NA,OTHER PLEURAL EXCISION   
100407,346  ,PROCEDURE,NA,NA,SCARIFICATION OF PLEURA  
100408,3471 ,PROCEDURE,NA,NA,SUTURE CHEST WALL LACER  
100409,3472 ,PROCEDURE,NA,NA,THORACOSTOMY CLOSURE     
100410,3473 ,PROCEDURE,NA,NA,CLOS THORACIC FISTUL NEC 
100411,3479 ,PROCEDURE,NA,NA,OTHER CHEST WALL REPAIR  
100412,3481 ,PROCEDURE,NA,NA,EXCISE DIAPHRAGM LESION  
100413,3482 ,PROCEDURE,NA,NA,SUTURE DIAPHRAGM LACERAT 
100414,3483 ,PROCEDURE,NA,NA,CLOSE DIAPHRAGM FISTULA  
100415,3484 ,PROCEDURE,NA,NA,OTHER DIAPHRAGM REPAIR   
100416,3491 ,PROCEDURE,NA,NA,THORACENTESIS            
100417,3492 ,PROCEDURE,NA,NA,INJECT INTO THORAX CAVIT 
100418,3493 ,PROCEDURE,NA,NA,REPAIR OF PLEURA         
100419,3499 ,PROCEDURE,NA,NA,THORACIC OPERATION NEC   
100420,3511 ,PROCEDURE,NA,NA,OPN AORTIC VALVULOPLASTY 
100421,3512 ,PROCEDURE,NA,NA,OPN MITRAL VALVULOPLASTY 
100422,3514 ,PROCEDURE,NA,NA,OPN TRICUS VALVULOPLASTY 
100423,3521 ,PROCEDURE,NA,NA,REPLACE AORT VALV-TISSUE 
100424,3522 ,PROCEDURE,NA,NA,REPLACE AORTIC VALVE NEC 
100425,3523 ,PROCEDURE,NA,NA,REPLACE MITR VALV-TISSUE 
100426,3524 ,PROCEDURE,NA,NA,REPLACE MITRAL VALVE NEC 
100427,3525 ,PROCEDURE,NA,NA,REPLACE PULM VALV-TISSUE 
100428,3527 ,PROCEDURE,NA,NA,REPLACE TRIC VALV-TISSUE 
100429,3528 ,PROCEDURE,NA,NA,REPLACE TRICUSP VALV NEC 
100430,3531 ,PROCEDURE,NA,NA,PAPILLARY MUSCLE OPS     
100431,3532 ,PROCEDURE,NA,NA,CHORDAE TENDINEAE OPS    
100432,3533 ,PROCEDURE,NA,NA,ANNULOPLASTY             
100433,3535 ,PROCEDURE,NA,NA,TRABECUL CARNEAE CORD OP 
100434,3539 ,PROCEDURE,NA,NA,TISS ADJ TO VALV OPS NEC 
100435,3541 ,PROCEDURE,NA,NA,ENLARGE EXISTING SEP DEF 
100436,3542 ,PROCEDURE,NA,NA,CREATE SEPTAL DEFECT     
100437,3550 ,PROCEDURE,NA,NA,PROSTH REP HRT SEPTA NOS 
100438,3551 ,PROCEDURE,NA,NA,PROS REP ATRIAL DEF-OPN  
100439,3552 ,PROCEDURE,NA,NA,PROS REPAIR ATRIA DEF-CL 
100440,3553 ,PROCEDURE,NA,NA,REPAIR VENTRICULAR SEPTA 
100441,3561 ,PROCEDURE,NA,NA,GRART REPAIR ATRIAL DEF  
100297,2749 ,PROCEDURE,NA,NA,EXCISION OF MOUTH NEC    
100298,2751 ,PROCEDURE,NA,NA,SUTURE OF LIP LACERATION 
100299,2752 ,PROCEDURE,NA,NA,SUTURE OF MOUTH LAC NEC  
100300,2755 ,PROCEDURE,NA,NA,FULL-THICK GRFT TO MOUTH 
100301,2756 ,PROCEDURE,NA,NA,SKIN GRAFT TO MOUTH NEC  
100302,2757 ,PROCEDURE,NA,NA,PEDICLE ATTACH TO MOUTH  
100303,2759 ,PROCEDURE,NA,NA,MOUTH REPAIR NEC         
100304,2761 ,PROCEDURE,NA,NA,SUTURE OF PALATE LACERAT 
100305,2772 ,PROCEDURE,NA,NA,EXCISION OF UVULA        
100306,2792 ,PROCEDURE,NA,NA,MOUTH INCISION NOS       
100307,280  ,PROCEDURE,NA,NA,PERITONSILLAR I & D      
100308,2811 ,PROCEDURE,NA,NA,TONSIL ADENOID BIOPSY    
100309,282  ,PROCEDURE,NA,NA,TONSILLECTOMY            
100310,287  ,PROCEDURE,NA,NA,HEMORR CONTRL POST T & A 
100311,2911 ,PROCEDURE,NA,NA,PHARYNGOSCOPY            
100312,2912 ,PROCEDURE,NA,NA,PHARYNGEAL BIOPSY        
100313,2933 ,PROCEDURE,NA,NA,PHARYNGECTOMY PART       
100314,2939 ,PROCEDURE,NA,NA,OTH EX OR DES LES/TIS PH 
100315,294  ,PROCEDURE,NA,NA,PLASTIC OP ON PHARYNX    
100316,2951 ,PROCEDURE,NA,NA,SUTURE OF PHARYNGEAL LAC 
100317,2959 ,PROCEDURE,NA,NA,PHARYNGEAL REPAIR NEC    
100318,3009 ,PROCEDURE,NA,NA,DESTRUCT LARYNX LES NEC  
100319,3029 ,PROCEDURE,NA,NA,OTHER PART LARYNGECTOMY  
100320,303  ,PROCEDURE,NA,NA,COMPLETE LARYNGECTOMY    
100321,304  ,PROCEDURE,NA,NA,RADICAL LARYNGECTOMY     
100322,310  ,PROCEDURE,NA,NA,INJECTION OF LARYNX      
100323,311  ,PROCEDURE,NA,NA,TEMPORARY TRACHEOSTOMY   
100324,3129 ,PROCEDURE,NA,NA,OTHER PERM TRACHEOSTOMY  
100325,313  ,PROCEDURE,NA,NA,INCIS LARYNX TRACHEA NEC 
100326,3141 ,PROCEDURE,NA,NA,TRACHEOSCOPY THRU STOMA  
100327,3142 ,PROCEDURE,NA,NA,LARYGNOSCOPY/TRACHEOSCOP 
100328,3143 ,PROCEDURE,NA,NA,LARYNGEAL BIOPSY         
100329,3144 ,PROCEDURE,NA,NA,TRACHEAL BIOPSY          
100330,3145 ,PROCEDURE,NA,NA,OPEN BX LARYNX OR TRACHE 
100331,3148 ,PROCEDURE,NA,NA,OTH LARYNX DX PROCEDURE  
100332,3149 ,PROCEDURE,NA,NA,OTH TRACHEA DX PROCEDURE 
100333,315  ,PROCEDURE,NA,NA,LOCAL DESTRUC LARYNX LES 
100334,3161 ,PROCEDURE,NA,NA,SUTURE OF LARYNGEAL LAC  
100335,3162 ,PROCEDURE,NA,NA,LARYNGEAL FISTULA CLOS   
100336,3164 ,PROCEDURE,NA,NA,LARYNGEAL FX REPAIR      
100337,3169 ,PROCEDURE,NA,NA,OTHER LARYNGEAL REPAIR   
100338,3171 ,PROCEDURE,NA,NA,SUTURE OF TRACHEAL LACER 
100339,3172 ,PROCEDURE,NA,NA,CLOSURE OF TRACHEOSTOMY  
100340,3173 ,PROCEDURE,NA,NA,TRACHEA FISTULA CLOS NEC 
100341,3174 ,PROCEDURE,NA,NA,REVISION OF TRACHEOSTOMY 
100342,3175 ,PROCEDURE,NA,NA,TRACHEAL RECONSTRUCTION  
100343,3179 ,PROCEDURE,NA,NA,OTHER TRACHEAL REPAIR    
100344,3192 ,PROCEDURE,NA,NA,LYSIS TRACH/LARYNX ADHES 
100345,3193 ,PROCEDURE,NA,NA,REPLACE TRAC/LARYN STENT 
100346,3195 ,PROCEDURE,NA,NA,TRACHEOESOPHAGEAL FISTUL 
100347,3198 ,PROCEDURE,NA,NA,OTH LARYNGEAL OPERATION  
100348,3199 ,PROCEDURE,NA,NA,OTHER TRACHEAL OPERATION 
100349,3201 ,PROCEDURE,NA,NA,"EXC BRONCH LESION/TIS, E "
100350,3209 ,PROCEDURE,NA,NA,LOC EXC/DEST BRONCH LESI 
100351,321  ,PROCEDURE,NA,NA,OTHER BRONCHIAL EXCISION 
100352,3220 ,PROCEDURE,NA,NA,THORACOSCOPIC EXCISION O 
100353,3222 ,PROCEDURE,NA,NA,LUNG VOLUME REDUCT SURG  
60001,001 ,HFCA_DRG,NA,NA,CRANIOTOMY AGE >17 EXCEPT FOR TRAUMA    
60002,001 ,HFCA_DRG,NA,NA,CRANIOTOMY AGE >17 W CC                 
60003,001 ,HFCA_DRG,NA,NA,HEART TRANSPLANT OR IMPLANT OF HEART ASS
60004,002 ,HFCA_DRG,NA,NA,CRANIOTOMY AGE >17 W/O CC               
60005,002 ,HFCA_DRG,NA,NA,CRANIOTOMY FOR TRAUMA AGE >17           
60006,003 ,HFCA_DRG,NA,NA,CRANIOTOMY AGE 0-17                     
60007,003 ,HFCA_DRG,NA,NA,ECMO OR TRACH W MV 96+ HRS OR PDX EXC FA
60008,004 ,HFCA_DRG,NA,NA,SPINAL PROCEDURES                       
60009,004 ,HFCA_DRG,NA,NA,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUT"
60010,005 ,HFCA_DRG,NA,NA,EXTRACRANIAL VASCULAR PROCEDURES        
60011,005 ,HFCA_DRG,NA,NA,LIVER TRANSPLANT W MCC OR INTESTINAL TRA
60012,006 ,HFCA_DRG,NA,NA,LIVER TRANSPLANT W/O MCC                
60013,007 ,HFCA_DRG,NA,NA,PERIPH & CRANIAL NERVE & OTHER NERV SYST
60014,008 ,HFCA_DRG,NA,NA,PERIPH & CRANIAL NERVE & OTHER NERV SYST
60015,009 ,HFCA_DRG,NA,NA,BONE MARROW TRANSPLANT                  
60016,009 ,HFCA_DRG,NA,NA,SPINAL DISORDERS & INJURIES             
60017,010 ,HFCA_DRG,NA,NA,NERVOUS SYSTEM NEOPLASMS WITH CC        
60018,011 ,HFCA_DRG,NA,NA,NERVOUS SYSTEM NEOPLASMS W/O CC         
60019,011 ,HFCA_DRG,NA,NA,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60020,012 ,HFCA_DRG,NA,NA,DEGENERATIVE NERVOUS SYSTEM DISORDERS   
60021,012 ,HFCA_DRG,NA,NA,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60022,013 ,HFCA_DRG,NA,NA,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA  
60023,013 ,HFCA_DRG,NA,NA,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGN"
60024,014 ,HFCA_DRG,NA,NA,INTRACRANIAL HEMORRHAGE & STROKE WITH IN
60025,014 ,HFCA_DRG,NA,NA,SPECIFIC CEREBROVASCULAR DISORDERS EXCEP
60026,015 ,HFCA_DRG,NA,NA,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION 
60027,015 ,HFCA_DRG,NA,NA,TRANSIENT ISCHEMIC ATTACK & PRECEREBRAL 
60028,016 ,HFCA_DRG,NA,NA,NONSPECIFIC CEREBROVASCULAR DISORDERS W 
60029,017 ,HFCA_DRG,NA,NA,NONSPECIFIC CEREBROVASCULAR DISORDERS W/
60030,018 ,HFCA_DRG,NA,NA,CRANIAL & PERIPHERAL NERVE DISORDERS WIT
60031,019 ,HFCA_DRG,NA,NA,CRANIAL & PERIPHERAL NERVE DISORDERS W/O
60032,020 ,HFCA_DRG,NA,NA,INTRACRANIAL VASCULAR PROCEDURES W PDX H
60033,020 ,HFCA_DRG,NA,NA,NERVOUS SYSTEM INFECTION EXCEPT VIRAL ME
60034,021 ,HFCA_DRG,NA,NA,INTRACRANIAL VASCULAR PROCEDURES W PDX H
60035,021 ,HFCA_DRG,NA,NA,VIRAL MENINGITIS                        
60036,022 ,HFCA_DRG,NA,NA,HYPERTENSIVE ENCEPHALOPATHY             
60037,022 ,HFCA_DRG,NA,NA,INTRACRANIAL VASCULAR PROCEDURES W PDX H
60038,023 ,HFCA_DRG,NA,NA,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CN
60039,023 ,HFCA_DRG,NA,NA,NONTRAUMATIC STUPOR & COMA              
60040,024 ,HFCA_DRG,NA,NA,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CN
60041,024 ,HFCA_DRG,NA,NA,SEIZURE & HEADACHE AGE >17 WITH CC      
60042,025 ,HFCA_DRG,NA,NA,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL P
60043,025 ,HFCA_DRG,NA,NA,SEIZURE & HEADACHE AGE >17 W/O CC       
